Customer,Product Code,Product Description,Location,Trans.#,Trans.Date,Transfer Type,Qty,Price,Cost,Amount
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,,P02395,02/07/2026,purchase,120,0.00,0.45,54.00
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,,BILL/2026/0052,02/04/2026,bill,2,0.00,0.45,0.90
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,2,0.00,0.45,0.90
Vistar,PC14366,Famous Amos Chocolate Chip Cookie,,P02382,02/01/2026,purchase,120,0.00,0.45,54.00
,,,,,,TOTAL,6,0.79,0.78,$4.74
First Service Residential,PC14367,Fiber One Chew Oats,Ultraserv Automated Services Transit/Stock,Ultra/INT/469162,02/05/2026,store_order,6,0.79,0.78,4.74
,,,,,,TOTAL,132,11.72,7.70,$208.98
Behr Paint Company - Standard,PC16065,5 Gum Spearmint Rain,Ultraserv Automated Services Transit/Stock,Ultra/INT/469203,02/06/2026,store_order,5,2.11,1.54,10.55
Behr Paint Company - Saint Andrews,PC16065,5 Gum Spearmint Rain,Ultraserv Automated Services Transit/Stock,Ultra/INT/469015,02/04/2026,store_order,5,2.11,1.54,10.55
Vistar,PC16065,5 Gum Spearmint Rain,,BILL/2026/0047,02/03/2026,bill,1,2.50,1.54,1.54
Vistar,PC16065,5 Gum Spearmint Rain,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02391,02/03/2026,material_receipt,1,2.50,1.54,1.54
Vistar,PC16065,5 Gum Spearmint Rain,,P02380,02/01/2026,purchase,120,2.50,1.54,184.80
,,,,,,TOTAL,191,24.66,4.56,$148.40
Embassy Suites by Hilton Anaheim North,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/469349,02/09/2026,store_order,4,4.25,0.57,17.00
Behr Paint Company - Saint Andrews,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/469200,02/06/2026,store_order,3,1.11,0.57,3.33
Staybridge Suites Oxnard River Ridge,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/469121,02/05/2026,store_order,3,3.50,0.57,10.50
Vistar,PC16236,Boulder Jalapeno Cheddar Chips,,BILL/2026/0052,02/04/2026,bill,3,3.50,0.57,1.71
Vistar,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Main Warehouse Cerritos/Stock,Ultra/IN/02396,02/04/2026,material_receipt,3,3.50,0.57,1.71
Bobrick Washroom Equipment Inc,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/469042,02/04/2026,store_order,7,1.05,0.57,7.35
Embassy Suites by Hilton Anaheim North,PC16236,Boulder Jalapeno Cheddar Chips,Ultraserv Automated Services Transit/Stock,Ultra/INT/468839,02/02/2026,store_order,3,4.25,0.57,12.75
Vistar,PC16236,Boulder Jalapeno Cheddar Chips,,P02382,02/01/2026,purchase,165,3.50,0.57,94.05
,,,,,,TOTAL,487,6.93,6.30,$329.38
Behr Paint Company - Saint Andrews,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469201,02/06/2026,store_order,13,0.82,0.63,10.66
Behr Paint Company - Midway Coatings Cantina,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469205,02/06/2026,store_order,8,0.82,0.63,6.56
Altura Credit Union HOC,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469223,02/06/2026,store_order,8,0.99,0.63,7.92
Vistar Southern California,PC16246,Coke Diet 12oz,Ultraserv Automated Services Transit/Stock,Ultra/INT/469009,02/04/2026,store_order,13,0.99,0.63,12.87
